варламов;"(1801-48), рос. композитор, певец романсов ""Вдоль по улице метелица метет"", ""Красный сарафан"", ""На заре ты ее не буди"".?"
идолище;(увелич.) идол (божество)?
комарик;(уменьш.) комар, насекомое?
экономия;... - это способ тратить деньги без всякого удовольствия. (Арман Салакру)?
японское;... - это хорошо загримированное китайское?
тонкое;... - это хорошо похудевшее толстое?
трезвое;... - это хорошо проспавшееся пьяное?
деньги;... - это шестое чувство, без которого остальные пять бесполезны. (Сомерсет Моэм)?
ежик;... в тумане?
рот;... до ушей, хоть завязочки пришей?
заяц;... и бобер (басня С. Михалкова)?
бензоат;... натрия используют как консервант пищевых продуктов?
дыма;... не бывает без огня?
телефон;"... небес (хит группы ""Технология"")?"
каши;... просят ботинки, у которых подошва держится на честном слове (о чем речь?)?
привет;... солнечной долины - кинофильм с участием знаменитого джаз-оркестра Гленна Миллера?
иванское;... сто - так называлось в XII-XV веках в Новгороде объединение купцов, торговавших воском вокруг церкви Ивана Предтечи?
угар;"... страстного увлечения скоро проходит, остаются цепи и здравый рассудок (Фраза Паратова в ""Бесприданнице"" А. Островского)?"
баловень;... судьбы называют того, к кому фортуна ни разу не поворачивалась задом (о ком речь?)?
ушат;... холодной воды окатывают того, кого сражают неприятным известием (тара из выражения)?
шурум;"...-бурум (слово, делающее эту ""абракадабру"" синонимом беспорядка и суматохи)?"
мартурано;...Мартурано - пьеса Эдуарде де Филиппе?
гусли;...-самогуды (сказочный инструмент, не нуждающийся в исполнителе)?
слава;Добрая ... бежит, а худая - летит>. О чем речь в поговорке?
кабельтов;0,1 морской мили, или 185,2 м?
румб;1/32 компаса?
квадрант;1/4 часть круга?
кызылкум;11-я по величине пустыня мира в Средней Азии?
гросс;12 дюжин (число 144)?
фотография;150-летие этого сплава техники и искусства отмечалось в 1988 году. Это ... ?
линкольн;16-й президент США, принял закон об отмене рабства (1809-65), марка автомобиля?
гаррисон;23-й президент США (годы жизни 1833-1901, годы президенства 1889-1893, республиканец)?
франция;240 из 450-ти сортов сыра известных в мире выпускается в стране ... ?
эйзенхауэр;34-й президент США (годы жизни 1890-1969, годы президенства 1953-1961, республиканец)?
кеннеди;35-й президент США (1961-63), от Демократической партии?
форд;38-й президент США (родился в 1913, годы президенства 1974-1977, республиканец)?
